Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
Yirrio S,01/02/05 16:10:40,0,no,no,Lol I thought they were Greta Thunbergs in the background 🤣,view comment
Non-Binary DragonBear,###############################################################################################################################################################################################################################################################,1,no,no,"YOU JINXED US MALINDA!!!!! Its only been little over a week and it is worst. Insurrection and 5 dead with covid running rampant in Congress and 8 gorillas in San Diego zoo have it too. Cyperpunk 2077 flopped big time. 
But hey at least the orange baffoon is off all social media.",view comment
Moxie Miscellany,###############################################################################################################################################################################################################################################################,0,no,no,0:25 sums up the entire year perfectly.,view comment
Yirrio S,01/02/58 11:59:02,4,no,no,"2020:  Bring it on 

2021: How dare you",view comment
Melissa Takach,###############################################################################################################################################################################################################################################################,1,no,no,What about antimaskers and Karen’s?,view comment
MATHEA CONRAD,###############################################################################################################################################################################################################################################################,1,no,no,me still listening in January 2021,view comment
Sivie Lovegood,01/02/12 16:11:52,0,no,no,They should make this the second YouTube revind,view comment
Miss Oreo,14/01/21 13:47:14,0,no,no,I thought she was going to just scream for 6:34 minutes,view comment
Miss Oreo,14/01/21 14:02:25,0,no,no,2021 is ruined from the first weeks as well.... ON TO 2022 MY FRIENDS,view comment
ALHASSANE KEITA,14/01/21 16:18:37,0,no,no,*2020 IN A MUSICAL YA’LL*,view comment
Charline Lepant,14/01/21 17:09:01,0,no,no,THIS IS GOD,view comment
wither,14/01/21 19:50:18,0,no,no,"as much as 2020 (and the start of 2021) sucked, there's still good to focus on. to anyone who sees this, i'm proud of you. you can do this. we all can. stay safe and have a wonderful day/night :)",view comment
Philipsintheshop,14/01/21 23:21:01,0,no,no,"Could you not cuss pls

Other wise it a brilliant song just like the previous ones",view comment
HootieQ,15/01/21 00:22:23,1,no,no,It’s 2021 now and I’m scared for it,view comment
Bobble Bardsley,15/01/21 02:59:01,0,no,no,"The fan in me loves this, and the writer in me can appreciate how you felt when you figured out that you could rhyme 'pandemic' with 'upended'. Excellent work. Well done for not overly focusing on COVID-19 in a year when it was almost impossible to focus on anything else.",view comment
J024,15/01/21 04:22:27,0,no,no,"OK, subbed. Holy moly she is perfect.",view comment
